"OTU_10006" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Dialister" "s__uncultured_bacterium"
"OTU_10009" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" ""
"OTU_10016" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "g__Mogibacterium" ""
"OTU_1002" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_bifidum"
"OTU_10020" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Ruminococcus" "s__uncultured_bacterium"
"OTU_10021" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Subdoligranulum" "s__uncultured_bacterium"
"OTU_10022" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Corynebacterium" "s__uncultured_bacterium"
"OTU_10026" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Helcococcus" "s__uncultured_bacterium"
"OTU_10027" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Eubacterium]_hallii_group" "s__uncultured_bacterium"
"OTU_10029" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Clostridiaceae" "g__Clostridium_sensu_stricto_1" ""
"OTU_1003" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Tannerellaceae" "g__Parabacteroides" ""
"OTU_10031" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "" ""
"OTU_10032" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Peptoniphilus" "s__uncultured_bacterium"
"OTU_10038" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Enterobacteriaceae" "g__Kosakonia" ""
"OTU_10040" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" ""
"OTU_10045" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_breve"
"OTU_10046" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_longum"
"OTU_10048" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" ""
"OTU_10051" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Faecalibacterium" ""
"OTU_10056" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Mobiluncus" "s__Mobiluncus_curtisii"
"OTU_10058" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"OTU_10060" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "" ""
"OTU_10061" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Fusicatenibacter" "s__uncultured_organism"
"OTU_10065" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridia_UCG-014" "f__" "g__" "s__uncultured_bacterium"
"OTU_10069" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lacticaseibacillus" ""
"OTU_10072" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Agathobacter" ""
"OTU_10073" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_adolescentis"
"OTU_10074" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" ""
"OTU_10080" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Erysipelotrichales" "f__Erysipelotrichaceae" "g__Turicibacter" "s__uncultured_bacterium"
"OTU_10082" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Anaerococcus" "s__uncultured_bacterium"
"OTU_10084" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__[Eubacterium]_coprostanoligenes_group" "g__" "s__uncultured_bacterium"
"OTU_10086" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" ""
"OTU_10088" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Faecalibacterium" "s__uncultured_organism"
"OTU_1009" "k__Bacteria" "p__Actinobacteriota" "c__Coriobacteriia" "o__Coriobacteriales" "f__Eggerthellaceae" "g__Adlercreutzia" ""
"OTU_10092" "k__Bacteria" "p__Desulfobacterota" "c__Desulfovibrionia" "o__Desulfovibrionales" "f__Desulfovibrionaceae" "g__Bilophila" "s__uncultured_bacterium"
"OTU_10097" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__Bacteroides_dorei"
"OTU_1010" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Fusicatenibacter" ""
"OTU_10100" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Faecalibacterium" "s__uncultured_bacterium"
"OTU_10102" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Staphylococcales" "f__Staphylococcaceae" "g__Staphylococcus" "s__Staphylococcus_aureus"
"OTU_10103" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" ""
"OTU_10107" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Bacillales" "f__Bacillaceae" "g__Bacillus" ""
"OTU_10108" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Muribaculaceae" "g__" "s__uncultured_bacterium"
"OTU_1011" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" ""
"OTU_10110" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotellaceae_UCG-001" "s__uncultured_bacterium"
"OTU_10111" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Muribaculaceae" "g__" "s__uncultured_bacterium"
"OTU_1012" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Fusicatenibacter" ""
"OTU_10123" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Xanthomonadales" "f__Xanthomonadaceae" "g__Stenotrophomonas" "s__Stenotrophomonas_maltophilia"
"OTU_10124" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Rikenellaceae" "g__Alistipes" ""
"OTU_10126" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Muribaculaceae" "g__" "s__uncultured_bacterium"
"OTU_10128" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Muribaculaceae" "g__" "s__uncultured_bacterium"
"OTU_10131" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Bacillales" "f__Bacillaceae" "g__Bacillus" "s__Bacillus_subtilis"
"OTU_10133" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotellaceae_NK3B31_group" "s__uncultured_bacterium"
"OTU_1015" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" "s__uncultured_bacterium"
"OTU_10150" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Erwiniaceae" "g__Erwinia" ""
"OTU_10155" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pseudomonadales" "f__Moraxellaceae" "g__Acinetobacter" "s__Acinetobacter_sp."
"OTU_10156" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" "s__uncultured_bacterium"
"OTU_1017" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Agathobacter" ""
"OTU_1018" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Subdoligranulum" "s__uncultured_bacterium"
"OTU_10180" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Erwiniaceae" "g__Erwinia" ""
"OTU_10188" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__uncultured_bacterium"
"OTU_1019" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Subdoligranulum" "s__uncultured_bacterium"
"OTU_10191" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Staphylococcales" "f__Gemellaceae" "g__Gemella" "s__uncultured_bacterium"
"OTU_1020" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__Prevotella_bivia"
"OTU_1021" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" ""
"OTU_1022" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Muribaculaceae" "g__" ""
"OTU_10243" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" ""
"OTU_10245" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" ""
"OTU_1025" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Ruminococcus]_torques_group" "s__uncultured_bacterium"
"OTU_10256" "k__Bacteria" "p__Actinobacteriota" "c__Coriobacteriia" "o__Coriobacteriales" "f__Coriobacteriaceae" "g__Collinsella" ""
"OTU_10262" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__uncultured_bacterium"
"OTU_10264" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Erysipelotrichales" "f__Erysipelatoclostridiaceae" "g__Erysipelatoclostridium" ""
"OTU_10265" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__uncultured_organism"
"OTU_10269" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_animalis"
"OTU_10275" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Faecalibacterium" "s__uncultured_bacterium"
"OTU_10288" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lacticaseibacillus" "s__Lactobacillus_paracasei"
"OTU_1029" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Peptoniphilus" "s__uncultured_bacterium"
"OTU_1033" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "" ""
"OTU_10330" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__uncultured_bacterium"
"OTU_10331" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" ""
"OTU_10335" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_bifidum"
"OTU_10336" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" ""
"OTU_10378" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_longum"
"OTU_10384" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" ""
"OTU_10386" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" ""
"OTU_10391" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_bifidum"
"OTU_10394" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_bifidum"
"OTU_104" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" ""
"OTU_1041" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" "s__Streptococcus_anginosus"
"OTU_10418" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pseudomonadales" "f__Moraxellaceae" "g__Enhydrobacter" "s__Moraxella_osloensis"
"OTU_10429" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Enterobacteriaceae" "g__Escherichia-Shigella" "s__uncultured_bacterium"
"OTU_10442" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__uncultured_bacterium"
"OTU_10445" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Anaerococcus" ""
